,0
492,Indie
19,Action
21,Adventure
597,Casual
122,RPG
599,Simulation
9,Strategy
4182,Singleplayer
493,Early Access
113,Free to Play
3871,2D
4191,3D
4166,Atmospheric
1684,Fantasy
4305,Colorful
1742,Story Rich
3859,Multiplayer
1664,Puzzle
3834,Exploration
3964,Pixel Graphics
4726,Cute
128,Massively Multiplayer
701,Sports
3993,Combat
3839,First-Person
4667,Violent
4106,Action-Adventure
4085,Anime
1773,Arcade
699,Racing
4136,Funny
12095,Sexual Content
3942,Sci-fi
6650,Nudity
1774,Shooter
1654,Relaxing
1667,Horror
5350,Family Friendly
1697,Third Person
4004,Retro
7481,Controller
4345,Gore
4252,Stylized
7208,Female Protagonist
1695,Open World
1685,Co-op
1662,Survival
1625,Platformer
1775,PvP
4791,Top-Down
6426,Choices Matter
4175,Realistic
6730,PvE
1719,Comedy
4342,Dark
3799,Visual Novel
4747,Character Customization
4195,Cartoony
7250,Linear
5716,Mystery
3968,Physics
6971,Multiple Endings
5379,2D Platformer
3843,Online Co-Op
1663,FPS
3916,Old School
1721,Psychological Horror
4057,Magic
4026,Difficult
3810,Sandbox
1708,Tactical
4172,Medieval
21978,VR
4231,Action RPG
4295,Futuristic
4094,Minimalist
1756,Great Soundtrack
1643,Building
1755,Space
6815,Hand-drawn
1702,Crafting
1698,Point & Click
1716,Roguelike
12472,Management
5984,Drama
4562,Cartoon
3959,Roguelite
4255,Shoot 'Em Up
7368,Local Multiplayer
4604,Dark Fantasy
8945,Resource Management
5125,Procedural Generation
5395,3D Platformer
3798,Side Scroller
6129,Logic
84,Design & Illustration
4486,Choose Your Own Adventure
3978,Survival Horror
5611,Mature
4947,Romance
5608,Emotional
9204,Immersive Sim
1036,Education
5537,Puzzle Platformer
4325,Turn-Based Combat
1646,Hack and Slash
30358,Nature
1741,Turn-Based Strategy
87,Utilities
11014,Interactive Fiction
9130,Hentai
14139,Turn-Based Tactics
42804,Action Roguelike
7332,Base Building
7743,1980s
3835,Post-apocalyptic
1678,War
1659,Zombies
17389,Tabletop
9551,Dating Sim
1738,Hidden Object
6691,1990's
1710,Surreal
4885,Bullet Hell
4434,JRPG
1720,Dungeon Crawler
3841,Local Co-Op
1687,Stealth
5900,Walking Simulator
5154,Score Attack
5094,Narration
3987,Historical
10695,Party-Based RPG
24904,NSFW
4711,Replay Value
4145,Cinematic
1677,Turn-Based
3814,Third-Person Shooter
4168,Military
15172,Conversation
31275,Text-Based
44868,LGBTQ+
4637,Top-Down Shooter
4975,2.5D
1673,Aliens
8369,Investigation
5851,Isometric
5752,Robots
4115,Cyberpunk
6869,Nonlinear
5711,Team-Based
3854,Lore-Rich
5923,Dark Humor
6276,Inventory Management
10235,Life Sim
1666,Card Game
9541,Demons
1038,Web Publishing
10397,Memes
12057,Tutorial
17305,Strategy RPG
379975,Clicker
7926,Artificial Intelligence
1676,RTS
5186,Psychological
4064,Thriller
3813,Real Time Tactics
4400,Abstract
4695,Economy
5547,Arena Shooter
10808,Supernatural
5613,Detective
1759,Perma Death
1644,Driving
5673,Modern
1770,Board Game
3877,Precision Platformer
5030,Dystopian 
16689,Time Management
4236,Loot
1645,Tower Defense
1734,Fast-Paced
1714,Psychedelic
8013,Software
872,Animation & Modeling
4234,Short
21725,Tactical RPG
29482,Souls-like
4840,4 Player Local
4328,City Builder
1751,Comic Book
15045,Flight
4598,Alternate History
4684,Wargame
4158,Beat 'em up
1628,Metroidvania
1621,Music
5652,Collectathon
7948,Soundtrack
5363,Destruction
13906,Game Development
16094,Mythology
1693,Classic
5577,RPGMaker
1669,Moddable
8122,Level Editor
8666,Runner
32322,Deckbuilding
615955,Idler
4036,Parkour
7569,Grid-Based Movement
6378,Crime
1743,Fighting
4474,CRPG
4736,2D Fighter
4700,Movie
4155,Class-Based
13782,Experimental
5411,Beautiful
784,Video Production
1754,MMORPG
791774,Card Battler
19995,Dark Comedy
3878,Competitive
15277,Philosophical
5765,Gun Customization
17894,Cats
1027,Audio Production
5794,Science
4758,Twin Stick Shooter
1100687,Automobile Sim
4508,Co-op Campaign
4150,World War II
4845,Capitalism
11104,Vehicular Combat
4608,Swordplay
1752,Rhythm
6506,3D Fighter
7432,Lovecraftian
916648,Creature Collector
4046,Dragons
255534,Automation
4364,Grand Strategy
16598,Space Sim
176981,Battle Royale
13190,America
5055,eSports
10816,Split Screen
4835,6DOF
5372,Conspiracy
29363,3D Vision
6052,Noir
87918,Farming Sim
1665,Match 3
4202,Trading
220585,Colony Sim
4878,Parody 
4559,Quick-Time Events
5796,Bullet Time
198631,Mystery Dungeon
1651,Satire
1445,Software Training
5228,Blood
620519,Hero Shooter
9592,Dynamic Narration
3920,Cooking
1100689,Open World Survival Craft
353880,Looter Shooter
3952,Gothic
22602,Agriculture
6625,Time Manipulation
24003,Word Game
21006,Underground
3955,Character Action Game
6915,Martial Arts
4777,Spectacle fighter
1732,Voxel
5981,Mining
1777,Steampunk
4102,Combat Racing
4821,Mechs
4853,Political
10679,Time Travel
1681,Pirates
9564,Hunting
1084988,Auto Battler
31579,Otome
1638,Dog
7478,Illuminati
4190,Addictive
13070,Solitaire
17770,Asynchronous Multiplayer
3934,Immersive
4018,Vampire
5300,God Game
1688,Ninja
13276,Tanks
18594,FMV
15564,Fishing
1723,Action RTS
1718,MOBA
9271,Trading Card Game
1717,Hex Grid
5502,Hacking
7702,Narrative
5708,Remake
809,Photo Editing
4376,Assassin
4754,Politics
97376,Cozy
11123,Mouse only
9157,Underwater
180368,Faith
5160,Dinosaurs
1671,Superhero
1670,4X
5179,Cold War
4161,Real-Time
4242,Episodic
1730,Sokoban
10383,Transportation
5432,Programming
26921,Political Sim
7782,Cult Classic
552282,Wholesome
1680,Heist
7178,Party Game
1647,Western
3965,Epic
7108,Party
6310,Diplomacy
13382,Archery
1616,Trains
6910,Naval
16250,Gambling
8093,Minigames
51306,Foreign
9803,Snow
1091588,Roguelike Deckbuilder
4994,Naval Combat
7107,Real-Time with Pause
4137,Transhumanism
1674,Typing
769306,Escape Room
13577,Sailing
454187,Traditional Roguelike
11333,Villain Protagonist
7423,Sniper
14153,Dungeons & Dragons
6041,Horses
25085,Touch-Friendly
7622,Offroad
5390,Time Attack
10437,Trivia
56690,On-Rails Shooter
8253,Music-Based Procedural Generation
17015,Werewolves
14720,Nostalgia
5230,Sequel
6702,Mars
5348,Mod
5153,Kickstarter
1254546,Football (Soccer)
5382,World War I
4520,Farming
776177,360 Video
9994,Experience
1649,GameMaker
1023537,Boomer Shooter
12190,Boxing
150626,Gaming
92092,Jet
5310,Games Workshop
1100686,Outbreak Sim
4291,Spaceships
4184,Chess
198913,Motorbike
71389,Spelling
1733,Unforgiving
7918,Dwarf
15339,Documentary
1736,LEGO
123332,Bikes
1100688,Medical Sim
922563,Roguevania
856791,Asymmetric VR
7038,Golf
6948,Rome
19780,Submarine
15954,Silent Protagonist
61357,Electronic Music
1746,Basketball
29855,Ambient
745697,Social Deduction
7113,Crowdfunded
1254552,Football (American)
6621,Pinball
189941,Instrumental Music
1753,Skateboarding
22955,Mini Golf
42089,Jump Scare
47827,Wrestling
12286,Warhammer 40K
8075,TrackIR
337964,Rock Music
19568,Cycling
17927,Pool
11634,Vikings
5727,Baseball
3796,Based On A Novel
5914,Tennis
96359,Skating
35079,Job Simulator
14906,Intentionally Awkward Controls
11095,Boss Rush
15868,Motocross
176733,Tile-Matching
17337,Lemmings
117648,8-bit Music
7328,Bowling
8461,Well-Written
324176,Hockey
603297,Hardware
28444,Snowboarding
129761,ATV
252854,BMX
1199779,Extraction Shooter
7309,Skiing
348922,Steam Machine
5407,Benchmark
33572,Mahjong
143739,Electronic
27758,Voice Control
102530,Elf
323922,Musou
6214,Birds
91114,Shop Keeper
30927,Fox
233824,Feature Film
42329,Coding
49213,Rugby
1220528,Hobby Sim
158638,Cricket
847164,Volleyball
5941,Reboot
363767,Snooker
